ID,Sexo,AdultoMayor,Socio,Dependientes,MesesCliente,ServicioTelefonico,LineasMultiples,ServicioInternet,SeguridadOnline,RespaldoOnline,ProteccionDispositivo,SoporteTecnico,TransmisionTV,TransmisionPeliculas,TerminoContrato,FacturacionElectronica,MetodoPago,MontoCargadoMes,MontoCargadoTotal,Churn
ID00037,Femenino,1.0,Si,Si,11.0,Si,Si,Fibra Optica,No,No,Si,No,No,No,Mes a mes,Si,Transferencia bancaria (automatico),78.1,864.85,0
ID02628,Femenino,0.0,Si,No,72.0,Si,Si,DSL,Si,Si,No,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),86.4,6058.95,0
ID06549,Masculino,0.0,No,No,13.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,,265.75,0
ID03815,Masculino,,Si,No,3.0,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Checke por correo,105.9,334.65,1
ID00500,Masculino,0.0,Si,No,50.0,Si,Si,Fibra Optica,Si,Si,No,No,No,Si,Mes a mes,Si,Transferencia bancaria (automatico),94.4,4914.9,0
ID01967,Femenino,0.0,Si,No,32.0,Si,No,No,,,,,,,Mes a mes,No,Tarjeta de credito (automatico),,641.15,0
ID00885,Femenino,1.0,Si,No,53.0,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Transferencia bancaria (automatico),25.1,1275.6,0
ID01694,Masculino,0.0,No,No,2.0,No,Sin servicio telefonico,DSL,No,No,No,Si,No,No,Mes a mes,No,Tarjeta de credito (automatico),29.85,75.6,1
ID00800,Masculino,0.0,Si,Si,72.0,Si,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Bianual,Si,Transferencia bancaria (automatico),108.4,,0
ID05957,Masculino,0.0,No,No,3.0,Si,No,DSL,No,No,No,Si,No,Si,Mes a mes,No,Checke electronico,60.65,196.9,0
ID06640,Masculino,0.0,No,No,57.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,20.75,1118.8,0
ID00489,Masculino,1.0,No,No,47.0,Si,Si,Fibra Optica,No,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automatico),86.05,3865.6,0
ID00686,Femenino,0.0,Si,Si,68.0,No,Sin servicio telefonico,DSL,No,Si,Si,Si,Si,Si,Bianual,No,Transferencia bancaria (automatico),60.3,4109,0
ID02214,Femenino,0.0,Si,Si,65.0,Si,Si,DSL,Si,Si,No,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),82.5,5215.1,0
ID00310,Masculino,0.0,No,No,17.0,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,No,Transferencia bancaria (automatico),25.1,382.8,0
ID07001,Femenino,1.0,Si,No,43.0,Si,Si,Fibra Optica,Si,No,Si,Si,Si,Si,Anual,Si,Checke electronico,109.55,4830.25,1
ID05595,Femenino,0.0,Si,Si,19.0,Si,No,No,,,,,,,Mes a mes,No,Checke electronico,20.2,382.2,0
ID01823,Masculino,0.0,No,No,12.0,Si,No,Fibra Optica,No,No,No,No,No,Si,Mes a mes,Si,Tarjeta de credito (automatico),79.95,1043.4,0
ID03731,Masculino,0.0,No,No,2.0,Si,No,Fibra Optica,Si,Si,No,No,Si,Si,Mes a mes,No,Checke por correo,100.2,198.5,0
ID06405,Femenino,0.0,Si,Si,33.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,20.1,670.35,0
ID04179,Femenino,0.0,Si,No,12.0,Si,No,DSL,No,Si,No,No,No,No,Mes a mes,Si,Checke por correo,51.25,612.1,0
ID00202,Femenino,0.0,No,No,5.0,Si,No,DSL,Si,No,No,Si,No,No,Mes a mes,No,Transferencia bancaria (automatico),53.85,259.8,1
ID04618,Femenino,0.0,Si,No,33.0,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Checke por correo,104.4,3409.6,1
ID01696,Masculino,0.0,No,No,2.0,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Tarjeta de credito (automatico),46.05,80.35,1
ID03231,Femenino,0.0,Si,Si,17.0,Si,Si,Fibra Optica,Si,No,Si,No,Si,Si,Mes a mes,Si,Checke por correo,104.2,1743.5,1
ID06375,Femenino,0.0,Si,Si,23.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,Si,Checke electronico,,451.55,0
ID05745,Femenino,0.0,No,No,1.0,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mes a mes,No,Checke electronico,24.4,24.4,0
ID03120,Masculino,0.0,No,Si,3.0,Si,No,Fibra Optica,No,No,No,No,No,No,Mes a mes,No,Checke por correo,69.65,220.1,1
ID04810,Masculino,0.0,No,No,52.0,Si,No,Fibra Optica,No,Si,No,No,No,Si,Mes a mes,Si,Checke por correo,85.35,4338.6,1
ID00034,Femenino,0.0,No,Si,11.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Transferencia bancaria (automatico),,216.2,0
ID06724,Masculino,0.0,Si,Si,8.0,Si,No,DSL,No,No,No,No,No,No,Anual,Si,Checke electronico,43.45,345.5,0
ID00901,Masculino,0.0,No,No,58.0,Si,No,No,,,,,,,Bianual,No,Transferencia bancaria (automatico),20.3,1131.5,0
ID05876,Femenino,0.0,No,No,2.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Checke electronico,20.3,41.2,0
ID05069,Masculino,0.0,Si,No,72.0,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Bianual,Si,Checke por correo,99.4,,0
ID01559,Masculino,0.0,Si,Si,11.0,Si,No,Fibra Optica,No,No,No,No,Si,No,Mes a mes,Si,Tarjeta de credito (automatico),79.5,868.5,1
ID01807,Femenino,1.0,No,No,11.0,Si,No,Fibra Optica,No,No,No,No,Si,Si,Mes a mes,No,Tarjeta de credito (automatico),89.7,1047.7,1
ID06584,Masculino,0.0,No,No,35.0,Si,No,No,,,,,,,Bianual,No,Checke electronico,,677.9,0
ID01710,Femenino,0.0,No,No,3.0,Si,Si,Fibra Optica,No,No,No,No,No,No,Mes a mes,No,Tarjeta de credito (automatico),74.4,215.8,1
ID06356,Femenino,0.0,Si,Si,13.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,,265.3,0
ID00526,Femenino,1.0,Si,No,61.0,Si,Si,Fibra Optica,Si,Si,Si,Si,No,No,Mes a mes,Si,Transferencia bancaria (automatico),94.2,5895.45,0
ID04099,Masculino,0.0,No,No,9.0,Si,No,Fibra Optica,No,No,Si,No,Si,Si,Mes a mes,Si,Checke por correo,94.05,811.65,0
ID06347,Masculino,0.0,Si,Si,8.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,20.15,165.5,0
ID02217,Masculino,0.0,Si,Si,65.0,Si,Si,Fibra Optica,No,No,Si,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),104.1,6700.05,0
ID04013,Masculino,0.0,No,No,7.0,Si,No,Fibra Optica,No,Si,No,No,Si,Si,Mes a mes,Si,Checke por correo,94.25,669,1
ID06951,Masculino,0.0,No,No,29.0,No,Sin servicio telefonico,DSL,Si,No,No,Si,No,No,Anual,No,Checke electronico,35.6,1072.6,0
ID03850,Femenino,1.0,No,No,4.0,Si,Si,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke por correo,74.45,294.45,0
ID06215,Masculino,0.0,No,No,20.0,Si,No,DSL,No,Si,No,No,No,No,Mes a mes,Si,Checke electronico,51.8,1023.85,0
ID04376,Femenino,0.0,Si,No,19.0,Si,No,Fibra Optica,Si,No,No,No,No,No,Mes a mes,Si,Checke por correo,73.2,1441.1,1
ID05551,Masculino,0.0,Si,Si,9.0,Si,No,DSL,No,Si,No,Si,No,No,Mes a mes,No,Checke electronico,54.8,452.8,0
ID03461,Masculino,0.0,No,No,1.0,Si,No,DSL,No,No,No,No,No,Si,Mes a mes,Si,Checke por correo,55.25,55.25,0
ID03643,Masculino,0.0,No,No,2.0,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Checke por correo,45.15,98.5,1
ID00933,Femenino,0.0,No,No,63.0,Si,Si,Fibra Optica,Si,Si,Si,No,Si,No,Bianual,No,Transferencia bancaria (automatico),98.0,6218.45,0
ID01781,Femenino,0.0,No,No,9.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Tarjeta de credito (automatico),,150.35,0
ID03342,Masculino,0.0,Si,Si,47.0,Si,No,Fibra Optica,Si,No,Si,No,No,Si,Mes a mes,No,Checke por correo,90.05,4137.2,0
ID03530,Masculino,1.0,No,No,1.0,Si,Si,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke por correo,74.4,74.4,1
ID01449,Femenino,0.0,No,No,60.0,Si,No,DSL,No,Si,Si,Si,Si,No,Anual,Si,Transferencia bancaria (automatico),70.15,4224.7,0
ID00646,Femenino,0.0,No,Si,61.0,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,Si,Transferencia bancaria (automatico),25.0,1498.35,0
ID02794,Femenino,0.0,Si,Si,64.0,Si,Si,Fibra Optica,Si,No,No,Si,Si,Si,Anual,Si,Tarjeta de credito (automatico),104.4,6721.6,0
ID01031,Femenino,0.0,Si,No,71.0,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,Si,Transferencia bancaria (automatico),25.95,1801.9,0
ID01036,Masculino,0.0,Si,No,71.0,Si,No,DSL,No,Si,Si,Si,Si,Si,Bianual,Si,Transferencia bancaria (automatico),79.1,5564.85,0
ID05845,Femenino,0.0,No,No,1.0,Si,Si,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke electronico,75.05,75.05,1
ID02815,Masculino,0.0,Si,Si,71.0,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Anual,No,Tarjeta de credito (automatico),100.55,,0
ID05612,Masculino,0.0,Si,Si,25.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Checke electronico,,477.6,0
ID00251,Masculino,0.0,No,No,10.0,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria (automatico),45.8,436.2,0
ID06230,Femenino,0.0,No,No,22.0,Si,Si,DSL,Si,No,No,Si,No,No,Mes a mes,Si,Checke electronico,59.05,1253.5,0
ID00506,Masculino,0.0,No,No,52.0,Si,No,Fibra Optica,No,No,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria (automatico),83.8,4331.4,0
ID00325,Masculino,,No,No,18.0,Si,Si,Fibra Optica,No,No,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria (automatico),90.7,1597.25,1
ID05812,Femenino,0.0,No,No,1.0,Si,No,DSL,No,No,No,No,No,Si,Mes a mes,Si,Checke electronico,54.75,54.75,1
ID02688,Masculino,0.0,Si,Si,19.0,Si,No,DSL,Si,No,No,No,No,No,Anual,Si,Tarjeta de credito (automatico),48.95,955.6,0
ID02070,Femenino,0.0,Si,No,55.0,Si,Si,Fibra Optica,Si,No,No,No,Si,No,Mes a mes,Si,Tarjeta de credito (automatico),89.8,4959.6,0
ID06470,Masculino,0.0,Si,Si,57.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,No,Checke electronico,20.75,1123.15,0
ID02635,Femenino,1.0,Si,No,72.0,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),89.85,6697.35,0
ID06015,Femenino,0.0,No,No,5.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,Si,Checke electronico,20.5,104.3,0
ID04221,Femenino,0.0,No,No,13.0,Si,No,Fibra Optica,No,Si,Si,No,No,No,Mes a mes,Si,Checke por correo,79.25,1111.65,1
ID05959,Masculino,0.0,No,No,3.0,Si,No,Fibra Optica,No,No,No,No,No,No,Mes a mes,Si,Checke electronico,69.6,207.4,0
ID04701,Femenino,1.0,No,No,40.0,No,Sin servicio telefonico,DSL,Si,Si,No,No,Si,Si,Mes a mes,Si,Checke por correo,55.8,2109.35,1
ID07021,Femenino,0.0,No,No,53.0,Si,Si,Fibra Optica,Si,Si,Si,No,Si,No,Anual,No,Checke electronico,98.6,5311.85,0
ID06713,Femenino,0.0,Si,Si,2.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Checke electronico,20.3,31.9,0
ID04634,Masculino,0.0,No,No,34.0,Si,Si,Fibra Optica,No,Si,No,Si,Si,Si,Mes a mes,Si,Checke por correo,105.35,3540.65,0
ID02386,Masculino,0.0,No,No,39.0,Si,No,DSL,No,No,No,Si,No,No,Bianual,Si,Tarjeta de credito (automatico),49.8,1971.15,0
ID05490,Femenino,0.0,Si,Si,3.0,No,Sin servicio telefonico,DSL,No,No,No,Si,No,No,Mes a mes,Si,Checke electronico,31.0,95.05,1
ID02418,Masculino,0.0,No,No,53.0,Si,Si,DSL,No,Si,Si,Si,No,Si,Bianual,Si,Tarjeta de credito (automatico),73.9,3958.25,0
ID06409,Femenino,0.0,Si,Si,35.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bianual,Si,Checke electronico,,739.35,0
ID05209,Femenino,0.0,No,No,13.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Checke por correo,,244.8,0
ID03040,Masculino,0.0,No,No,67.0,Si,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Anual,Si,Tarjeta de credito (automatico),118.35,,1
ID05225,Femenino,0.0,No,No,25.0,No,Sin servicio telefonico,DSL,Si,Si,Si,No,Si,Si,Anual,No,Checke por correo,61.05,1540.2,0
ID00061,Masculino,0.0,No,Si,22.0,Si,Si,Fibra Optica,No,Si,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automatico),89.1,1949.4,0
ID02455,Femenino,1.0,Si,No,60.0,Si,No,Fibra Optica,Si,Si,Si,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),110.0,6668.35,0
ID05929,Femenino,0.0,No,No,3.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Checke electronico,,58,0
ID02637,Femenino,0.0,Si,No,72.0,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bianual,Si,Tarjeta de credito (automatico),91.15,6637.9,0
ID04905,Femenino,0.0,Si,No,66.0,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Checke por correo,105.2,6936.85,0
ID00713,Femenino,0.0,Si,Si,70.0,Si,Si,DSL,Si,Si,No,No,Si,No,Bianual,Si,Transferencia bancaria (automatico),69.2,4872.35,0
ID02874,Femenino,0.0,No,No,32.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de credito (automatico),20.55,654.55,0
ID01554,Masculino,1.0,Si,Si,10.0,No,Sin servicio telefonico,DSL,No,No,No,No,No,Si,Mes a mes,Si,Tarjeta de credito (automatico),34.55,362.6,0
ID02814,Masculino,1.0,Si,Si,71.0,Si,No,Fibra Optica,Si,Si,Si,No,No,No,Anual,Si,Tarjeta de credito (automatico),86.7,6179.35,0
ID03139,Femenino,0.0,Si,Si,5.0,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Mes a mes,Si,Checke por correo,30.5,167.2,0
ID00707,Femenino,0.0,Si,Si,69.0,Si,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Bianual,,Transferencia bancaria (automatico),113.25,,0
ID04020,Femenino,,No,No,8.0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mes a mes,No,Checke por correo,,164.3,1
ID02754,Masculino,0.0,No,Si,50.0,No,Sin servicio telefonico,DSL,Si,Si,No,No,Si,No,Anual,Si,Tarjeta de credito (automatico),43.05,2208.05,0
ID01187,Femenino,0.0,Si,Si,42.0,Si,Si,Fibra Optica,Si,Si,No,No,Si,No,Anual,Si,Transferencia bancaria (automatico),94.45,3923.8,0
ID05506,Femenino,0.0,No,Si,4.0,No,Sin servicio telefonico,DSL,Si,Si,Si,No,Si,Si,Mes a mes,Si,Checke electronico,57.2,223.75,0
ID04136,Masculino,0.0,Si,No,10.0,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Mes a mes,Si,Checke por correo,98.5,1037.75,1
ID00237,Masculino,0.0,No,No,9.0,No,Sin servicio telefonico,DSL,No,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automatico),34.7,296.1,1
ID01356,Masculino,0.0,No,No,39.0,Si,Si,Fibra Optica,No,Si,No,No,No,No,Anual,No,Transferencia bancaria (automatico),81.4,3213.75,0
ID00867,Masculino,1.0,No,No,49.0,Si,Si,DSL,Si,Si,Si,Si,No,Si,Bianual,No,Transferencia bancaria (automatico),81.35,4060.9,0
ID05962,Masculino,0.0,No,No,3.0,Si,Si,Fibra Optica,No,No,No,No,No,No,Mes a mes,No,Checke electronico,75.0,209.1,1
